id,latent_0,latent_1,latent_2,latent_3,latent_4
2cQ9D0cQjUJmLs8rWFkcRH,0.2860769,-0.015464317,1.2457312,0.429732,0.17155287
2Z71PZlOeF9YVze4hy1A1a,-0.107662424,0.059453897,-0.73951757,-0.4441848,0.91454625
1B87ZDrD3Pno9hS4stamWO,0.30899066,0.37933144,0.24808235,-0.8718572,1.3547381
6yHkPtl6UQ7RjtJLBPzbJw,-0.43346864,0.93749744,0.4468528,-0.43658745,0.40796086
5FsJ8AUxW1KBypdhFvbdkd,0.37615567,-1.3473244,0.11335175,0.91793704,1.2267874
4AFgK4wP1iD5i8BYaLr9Vf,1.7279477,0.740785,0.51599586,-1.2356572,-0.1945388
70eFcWOvlMObDhURTqT4Fv,1.4610536,0.97287065,0.5061896,-0.09029239,0.86092544
4vUmTMuQqjdnvlZmAH61Qk,-0.99778426,-0.5372037,-0.07042602,1.7215624,0.26407644
4wuCQX7JvAZLlrcmH4AeZF,0.8223882,0.7786678,-0.50422347,-0.13714132,0.14277661
1AI7UPw3fgwAFkvAlZWhE0,0.27361467,0.32633194,0.050140794,0.79101986,0.5539849
0VsGaRXR5WAzpu51unJTis,-0.07432554,-1.5187417,0.3967868,-0.23997943,-0.52888244
0hVXuCcriWRGvwMV1r5Yn9,-1.5269923,0.40372616,0.38198888,0.2923884,-0.868633
1DhRbox3xkceP64k3JeYfW,-1.5361398,-0.17192605,-0.6938795,-0.34577966,-1.2016915
0AtP8EkGPn6SwxKDaUuXec,-0.9122089,-0.9223534,-2.008732,-0.33239976,-0.08672114
1Bdptrvb7nQkq8kCw3siE9,0.16269167,-0.10880165,-0.025059413,0.5900619,-1.1497574
5T03itPFOPGGkvVPvPiyla,-0.07843057,0.27875012,-0.9279079,1.7092152,0.63856333
2qRN7PWiHRLprw4FpDeI9N,-0.19348948,1.261984,-0.18602742,0.5633293,-0.6827895
3FHXUqaUer9o231Je1zxIN,0.7547968,1.4011811,-0.22208686,-0.13506478,0.8537939
4vIKzWqtn44umal5jXq4wE,0.10755104,-0.6358873,0.47556487,0.8615567,-0.5153338
5d1rmWWF1725tnYjq6rMDB,-1.0130348,-1.2637268,0.20432569,-0.83044577,0.56167626
7hvO2qCwJVZxiyoA7c9i5d,-0.09515612,1.1129825,-0.32533148,-1.832093,0.87230635
6J7WMB5GII6pEOzy687jhO,-0.58943164,-0.19365409,0.8535679,-0.20138729,0.19794457
4c620OIMXLAdFJnnqdQ0XU,0.5145465,-0.089497946,0.2756373,1.2885549,0.2721118
3iLGeA7LEHxctzSp7Ff1vf,-0.4342202,-0.43264395,0.2121583,1.3341554,0.6344976
36jvZGzkha6Iofib8BBzOL,-0.006219377,-0.6139263,0.5597021,-1.4607668,-0.9570265
1DUhAeBCT4r66Gu4P3nirG,1.07092,-0.66557515,0.96214795,1.6464381,0.2985338
4k80K0b6KZ2QjAYkXON7q6,0.13500942,-0.18115127,-1.467962,-0.31936422,-1.6301746
1jF7IL57ayN4Ity3jQqGu0,0.34493417,0.35732383,0.7658601,2.2801876,0.7117707
1mKXFLRA179hdOWQBwUk9e,-0.012011742,0.85789466,1.2859641,-0.32540897,0.23893203
1QNqrsNQ1JVLEwncov3lEY,1.2077384,-2.005579,2.369796,1.1260283,0.2102103
1EzyTh2gxdnU9sq3ivtw4w,-1.1113069,0.4204947,0.69123507,0.71065205,0.06727493
5d4Q9bLZWtsL90vvSh8UWr,0.41837123,-0.20409167,1.495387,0.23941636,0.37974298
2bq6lTZcVtQ6m8bpaVCwA9,-1.3253055,-0.01444801,-0.63792753,-0.26320267,-0.6572236
3030YT1OMJa4bxthLLHuVM,-0.008588338,-0.7912154,0.9025858,-0.8841307,-0.3922807
6l2Q66TlfZqzbRkFrZOMT1,-0.2547259,0.29987139,-0.6976471,1.3611166,-0.8725007
10Hb1MlXsnI7Yi936C97NA,0.7204066,1.4959723,0.65313345,-0.33034167,1.0583969
